column,dtype,non_null,nulls,null_pct
budget,int64,4803,0,0.0
genres,object,4803,0,0.0
homepage,object,1712,3091,64.36
id,int64,4803,0,0.0
keywords,object,4803,0,0.0
original_language,object,4803,0,0.0
original_title,object,4803,0,0.0
overview,object,4800,3,0.06
popularity,float64,4803,0,0.0
production_companies,object,4803,0,0.0
production_countries,object,4803,0,0.0
release_date,object,4802,1,0.02
revenue,int64,4803,0,0.0
runtime,float64,4801,2,0.04
spoken_languages,object,4803,0,0.0
status,object,4803,0,0.0
tagline,object,3959,844,17.57
title,object,4803,0,0.0
vote_average,float64,4803,0,0.0
vote_count,int64,4803,0,0.0
